id,user_id,lat,lng,site_id,campaign_id,status,surveyed_at,magnetic_north,Car Up,Car Down,Person Up,Person Down,Motorcycle Up,Motorcycle Down,Truck Up,Truck Down,Bicycle Up,Bicycle Down,Video
52,12,12.976346,77.620482,23,1,ready,"01:12 PM, 09-08-2019"," -112.02224676608095, -38.57498231888607,-1.6226834727262487",54,23,12,9,0,1,0,1,0,0,https://trafficanalyser.sgp1.digitaloceanspaces.com/surveys/assets/000/000/052/original/video_20190809_1307262052766536.mp4?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=Z2EHCX2HHJQQ55MENVPB%2F20190904%2Fsgp1%2Fs3%2Faws4_request&X-Amz-Date=20190904T171303Z&X-Amz-Expires=10800&X-Amz-SignedHeaders=host&X-Amz-Signature=119aec1aee4e9f00e885cf43741b4b9d4f1a529b018900f960ca81d9d9112802
53,7,19.1064108,72.8536633,25,3,ready,"05:06 PM, 09-08-2019"," -2.517949664412024, -46.39166254091294,4.890402639124436",58,31,0,0,0,0,0,3,0,0,https://trafficanalyser.sgp1.digitaloceanspaces.com/surveys/assets/000/000/053/original/video_20190809_1637219121251886209362200.mp4?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=Z2EHCX2HHJQQ55MENVPB%2F20190904%2Fsgp1%2Fs3%2Faws4_request&X-Amz-Date=20190904T171303Z&X-Amz-Expires=10800&X-Amz-SignedHeaders=host&X-Amz-Signature=9f68e915f609dfb1d2d0a02e91016f0121a160c1aca2448a09165c52616dd45b
54,7,19.106435,72.8536033,25,3,ready,"04:59 PM, 12-08-2019"," -68.4538838997278, -17.967954960857227,-36.18061169401391",46,45,0,0,0,0,0,3,0,0,https://trafficanalyser.sgp1.digitaloceanspaces.com/surveys/assets/000/000/054/original/video_20190809_1706084165465856865280104.mp4?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=Z2EHCX2HHJQQ55MENVPB%2F20190904%2Fsgp1%2Fs3%2Faws4_request&X-Amz-Date=20190904T171303Z&X-Amz-Expires=10800&X-Amz-SignedHeaders=host&X-Amz-Signature=d9c553baed643712e453e3a4f363f1f74ef6163a5ba43ced1221f508a76de24b
56,8,19.0651951,72.8969553,26,3,ready,"06:38 AM, 13-08-2019",,1,1,0,0,0,0,0,0,0,0,https://trafficanalyser.sgp1.digitaloceanspaces.com/surveys/assets/000/000/056/original/video_20190813_0635541625859634.mp4?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=Z2EHCX2HHJQQ55MENVPB%2F20190904%2Fsgp1%2Fs3%2Faws4_request&X-Amz-Date=20190904T171303Z&X-Amz-Expires=10800&X-Amz-SignedHeaders=host&X-Amz-Signature=7ac77c97fbd1cf4d056e6b1b0a4c3d91f6dd0ca57b0bcaa3e7ce83aa99709a9d
57,8,19.0647205,72.8969187,26,3,ready,"06:43 AM, 13-08-2019",,0,0,0,0,0,0,0,0,0,0,https://trafficanalyser.sgp1.digitaloceanspaces.com/surveys/assets/000/000/057/original/video_20190813_064215-1384967966.mp4?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=Z2EHCX2HHJQQ55MENVPB%2F20190904%2Fsgp1%2Fs3%2Faws4_request&X-Amz-Date=20190904T171303Z&X-Amz-Expires=10800&X-Amz-SignedHeaders=host&X-Amz-Signature=78e6c3383a684322085638eaab11574777769632f6e1be3a35d4efed42018ed7
58,8,19.065115,72.897867,26,3,ready,"10:29 AM, 13-08-2019",,2,0,0,0,0,0,0,0,0,0,https://trafficanalyser.sgp1.digitaloceanspaces.com/surveys/assets/000/000/058/original/video_20190813_1027471625859634.mp4?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=Z2EHCX2HHJQQ55MENVPB%2F20190904%2Fsgp1%2Fs3%2Faws4_request&X-Amz-Date=20190904T171303Z&X-Amz-Expires=10800&X-Amz-SignedHeaders=host&X-Amz-Signature=3ce1699154eee911a4bc0596178aa63e9d43af1dd30e1c2782c1f35a145ec974
59,8,19.0644772,72.8975216,26,3,ready,"10:31 AM, 13-08-2019",,9,12,0,0,0,1,0,4,0,0,https://trafficanalyser.sgp1.digitaloceanspaces.com/surveys/assets/000/000/059/original/video_20190813_103002-1384967966.mp4?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=Z2EHCX2HHJQQ55MENVPB%2F20190904%2Fsgp1%2Fs3%2Faws4_request&X-Amz-Date=20190904T171303Z&X-Amz-Expires=10800&X-Amz-SignedHeaders=host&X-Amz-Signature=8701d12bcc266c9745fd001e3c882e4674242dd46ec3919b2f422e7cb55b7351
60,6,18.9798407,72.8124987,6,2,ready,"11:00 AM, 13-08-2019"," -142.12853217458158, -34.36747309203692,-5.087310162706734",7,8,0,0,0,1,0,0,0,1,https://trafficanalyser.sgp1.digitaloceanspaces.com/surveys/assets/000/000/060/original/video_20190813_1056592337092353280260387.mp4?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=Z2EHCX2HHJQQ55MENVPB%2F20190904%2Fsgp1%2Fs3%2Faws4_request&X-Amz-Date=20190904T171303Z&X-Amz-Expires=10800&X-Amz-SignedHeaders=host&X-Amz-Signature=9725b198cec2ba4701e16139a63736395f6f33eb575c1b97cd20fd1ec8477f9e
61,7,19.1059891,72.853948,25,3,ready,"11:38 AM, 13-08-2019"," -31.227577073974107, -33.06851454587306,0.5075212083417643",10,9,0,2,0,0,0,0,0,0,https://trafficanalyser.sgp1.digitaloceanspaces.com/surveys/assets/000/000/061/original/video_20190813_0644443885849166882637817.mp4?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=Z2EHCX2HHJQQ55MENVPB%2F20190904%2Fsgp1%2Fs3%2Faws4_request&X-Amz-Date=20190904T171303Z&X-Amz-Expires=10800&X-Amz-SignedHeaders=host&X-Amz-Signature=af5190129e14c7ed4e07e800b8900cf151c230938c25977f62c1da46263787e7
62,7,19.1059891,72.853948,25,3,ready,"01:30 PM, 13-08-2019"," -54.36545418932302, -9.509979739921404,-56.992532774312096",66,52,1,1,0,0,2,9,0,0,https://trafficanalyser.sgp1.digitaloceanspaces.com/surveys/assets/000/000/062/original/video_20190813_1137268766231963289157062.mp4?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=Z2EHCX2HHJQQ55MENVPB%2F20190904%2Fsgp1%2Fs3%2Faws4_request&X-Amz-Date=20190904T171303Z&X-Amz-Expires=10800&X-Amz-SignedHeaders=host&X-Amz-Signature=a5ea0b92cb88898b366e891d85d40c6c261da9fed2aac5ef9036d6e49bee8163
63,8,19.0636473,72.8974525,26,3,ready,"03:09 PM, 13-08-2019",,3,0,0,0,0,0,0,0,0,0,https://trafficanalyser.sgp1.digitaloceanspaces.com/surveys/assets/000/000/063/original/video_20190813_1506491625859634.mp4?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=Z2EHCX2HHJQQ55MENVPB%2F20190904%2Fsgp1%2Fs3%2Faws4_request&X-Amz-Date=20190904T171303Z&X-Amz-Expires=10800&X-Amz-SignedHeaders=host&X-Amz-Signature=9d36825b164292910a88f5b6761b10439c9c4c46a811ca7e4486a3eab2f0ee19
64,8,19.0636074,72.8973892,26,3,ready,"03:14 PM, 13-08-2019",,10,8,0,2,0,0,0,0,0,0,https://trafficanalyser.sgp1.digitaloceanspaces.com/surveys/assets/000/000/064/original/video_20190813_151249-1384967966.mp4?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=Z2EHCX2HHJQQ55MENVPB%2F20190904%2Fsgp1%2Fs3%2Faws4_request&X-Amz-Date=20190904T171303Z&X-Amz-Expires=10800&X-Amz-SignedHeaders=host&X-Amz-Signature=fc5c8b32d4f3f8e6f89369f38590ae900983c070a5a8a57f5364e2f2b67ce1d7
65,7,19.1065786,72.8535085,25,3,ready,"04:09 PM, 13-08-2019"," -22.121061730967234, -31.735616789723412,3.034682930314284",47,45,0,0,0,0,1,28,0,0,https://trafficanalyser.sgp1.digitaloceanspaces.com/surveys/assets/000/000/065/original/video_20190813_1605305889709702649355714.mp4?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=Z2EHCX2HHJQQ55MENVPB%2F20190904%2Fsgp1%2Fs3%2Faws4_request&X-Amz-Date=20190904T171303Z&X-Amz-Expires=10800&X-Amz-SignedHeaders=host&X-Amz-Signature=91770262a439bb8fb70422e85534322313fce1fe42c4d65c61c98e73df61d6e5
66,12,12.9762743,77.6204093,23,1,ready,"05:50 PM, 13-08-2019"," 158.73768076422, -45.18193358606613,-5.190548045124653",0,0,0,0,0,0,0,0,0,0,https://trafficanalyser.sgp1.digitaloceanspaces.com/surveys/assets/000/000/066/original/video_20190813_1740171702941861.mp4?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=Z2EHCX2HHJQQ55MENVPB%2F20190904%2Fsgp1%2Fs3%2Faws4_request&X-Amz-Date=20190904T171303Z&X-Amz-Expires=10800&X-Amz-SignedHeaders=host&X-Amz-Signature=15d9b398375e35f59587146be35d3950a3c30bfd282de3806ec574f2ba4236da
